num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,ktr,krpm,ntrees,runtm,auc_rs_avg,auc_rs_std,auc_test_avg,auc_test_sd
2000,0.01,50,1,0.4,0,0.3,1,14,739.3,18.9164000000002,0.800294125890865,0.00113617288837682,0.726742916008345,0.00218467742674742
5000,0.01,50,0.6,0.6,0,0,1,15,741.7,17.97955,0.796295946397814,0.00146445645667981,0.724816312877629,0.00261191571516278
5000,0.03,5,0.6,0.4,0.3,0.1,1,16,193.5,14.7054999999998,0.802891138483193,0.00114100880036976,0.735333592914232,0.00276835879478427
2000,0.1,5,0.6,0.4,0,0,1,17,55.25,2.86294999999936,0.793690038374923,0.00179313655330786,0.730733891206031,0.00239496315903648
5000,0.01,50,0.6,0.4,0.3,0,1,18,824.15,16.4132499999996,0.793816910078084,0.00116823144712513,0.725749181224415,0.00262283802547571
5000,0.1,20,0.8,0.4,0,0,1,19,46.1,3.58650000000016,0.800169861201316,0.00106482944177794,0.73584980414696,0.00213711133633759
5000,0.1,10,0.8,0.6,0.01,0,1,20,37.15,4.42585000000017,0.795526106603878,0.0013752549262254,0.740932993819892,0.00235561928101491
5000,0.01,5,0.6,0.8,0,0,1,21,365.05,37.8797500000001,0.800643568276404,0.00103767883513895,0.733783099778605,0.00265293511439358
2000,0.03,50,0.6,1,0,0,1,22,342.55,7.59269999999961,0.799032405907668,0.0011955077814005,0.726456901322868,0.002484336157961
1000,0.1,10,0.6,1,0,0,1,23,67.6,1.75005000000056,0.797488481106552,0.00129132758505242,0.725580127880839,0.00231580438944509
100,0.01,20,1,1,0,0,1,24,1600.1,6.85114999999969,0.791487710994319,0.00128880898947135,0.724248472216486,0.00216234414634961
5000,0.01,20,1,0.8,0,0,1,25,435.7,29.1157000000003,0.78613175600386,0.00147974055812543,0.721915516385107,0.00203499412940279
200,0.03,10,1,0.8,0.01,0.1,1,26,446.95,2.97055,0.798848515535208,0.00166081971728235,0.730836158392021,0.00206970040573764
100,0.1,50,1,0.8,0.01,0,1,27,238.2,1.14959999999919,0.791499917730912,0.00163559973012393,0.728148278551643,0.0023457645216369
2000,0.1,10,0.6,1,0,0.3,1,28,66.15,3.10290000000096,0.801338478647986,0.00183689783816229,0.727346061714427,0.00257389224616518
100,0.01,20,1,0.8,0.1,0.1,1,29,1922.45,8.11680000000051,0.793707275863755,0.00178313129745767,0.727170750822353,0.00218151649516174
2000,0.03,50,1,0.4,0,0,1,30,248.85,7.04645000000055,0.798471800357539,0.00174163431093758,0.727635180544621,0.00221860051577636
5000,0.1,50,0.6,0.6,0,0,1,31,80.8,2.25945000000029,0.789132840154337,0.00145661181636077,0.72026250634151,0.00258272428161756
2000,0.01,50,1,1,0.1,0,1,32,746.65,19.6640000000003,0.797017127053799,0.00138705606190533,0.727412167358476,0.00221518545595577
100,0.01,5,1,1,0,0,1,33,1671.5,6.74414999999899,0.789640767199149,0.00165510380691628,0.724640663947056,0.00211832218588762
2000,0.01,5,0.8,1,0,0,1,34,448.3,20.1550000000003,0.814425963365831,0.00158732355472366,0.740697013301097,0.00206802583025785
2000,0.03,10,0.8,1,0,0,1,35,154,7.28020000000033,0.809938012971029,0.00146544094138551,0.735545080836477,0.00200463487557121
2000,0.01,10,1,0.4,0,0.1,1,36,411.9,19.1537999999997,0.789880999840495,0.0018535160338422,0.725478516428844,0.00203927435422693
2000,0.1,5,0.8,1,0,0,1,37,44.3,2.48930000000037,0.805446920893754,0.00147965834963657,0.744709289593932,0.00185250980477981
1000,0.01,5,1,0.8,0.1,0,1,38,577.3,13.5154500000004,0.803086309735378,0.00113695839615118,0.736259649996772,0.00211764829455085
200,0.03,50,0.6,0.8,0.3,0.3,1,39,520.6,3.68299999999945,0.792419713989116,0.00134136273499682,0.720529464574446,0.0025306555444744
500,0.01,10,0.6,0.8,0.01,0.1,1,40,807.6,9.81514999999927,0.802947023447654,0.00196169831392044,0.730749534109147,0.00244464806524729
1000,0.01,5,0.8,0.4,0.3,0,1,41,643.6,14.5579499999993,0.817063211471807,0.00139674415385282,0.742203077848788,0.00217559038246652
