num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,krpm,ntrees,runtm,auc_rs_avg,auc_rs_std,auc_test_avg,auc_test_sd
5000,0.01,5,0.6,0.8,0,0,21,362.2,68.7490499999999,0.798256252445463,0.00111622142563911,0.735377201486105,0.00228922554472575
2000,0.03,50,0.6,1,0,0,22,342.95,13.4049500000001,0.792788758255409,0.00149785713135705,0.728803581199091,0.00234581964943645
1000,0.1,10,0.6,1,0,0,23,68.45,2.88149999999969,0.792471424638641,0.00124256400546119,0.728397405525895,0.00225491639952752
100,0.01,20,1,1,0,0,24,1645.45,8.26669999999995,0.785826811613146,0.00158112660662412,0.728229162699025,0.00194203192523001
5000,0.01,20,1,0.8,0,0,25,428.5,50.23105,0.786487357607407,0.00132727388538261,0.730919245190628,0.00189512396616456
200,0.03,10,1,0.8,0.01,0.1,26,485.1,4.38060000000005,0.795641467335251,0.00131291227883532,0.736311244503527,0.00181110155176873
100,0.1,50,1,0.8,0.01,0,27,246.05,1.45604999999941,0.790261502666769,0.0016645496440058,0.733571151652941,0.00207124454098566
2000,0.1,10,0.6,1,0,0.3,28,65.8,5.74185000000034,0.794651416557506,0.00183914228458343,0.730302779720246,0.00220699265055946
100,0.01,20,1,0.8,0.1,0.1,29,1694.05,8.7122000000003,0.787058740836131,0.00156426436343612,0.729339764323513,0.00202882988515877
2000,0.03,50,1,0.4,0,0,30,249.1,12.3219500000005,0.795107911134776,0.00175967140416962,0.732815561705604,0.00177608810759066
5000,0.1,50,0.6,0.6,0,0,31,85.15,3.67974999999969,0.781608830117892,0.00136730476394089,0.722706214904799,0.0023913919757029
2000,0.01,50,1,1,0.1,0,32,732.25,33.6602000000003,0.791373398715735,0.00125192596717394,0.73150973050598,0.00189656481822839
100,0.01,5,1,1,0,0,33,1665.3,8.62790000000005,0.783047428929322,0.00133934464078655,0.728894284045484,0.00167598347404097
2000,0.01,5,0.8,1,0,0,34,444,36.9664499999999,0.814246520891619,0.00146550244632235,0.747448516251052,0.00215970620571533
2000,0.03,10,0.8,1,0,0,35,160.4,13.9895,0.808969982904969,0.00169131589691264,0.7434116112629,0.00210789768432663
2000,0.01,10,1,0.4,0,0.1,36,419.45,35.4347000000002,0.789777530453203,0.00128271102112973,0.735077273336161,0.00200906014525673
2000,0.1,5,0.8,1,0,0,37,44.85,4.59219999999987,0.805986931445475,0.00136046330915719,0.751420407398978,0.00183069193021998
